,Company Name,Symbol,Exchange,Currency,Country,Sector,Industry,Website,Full-Time Employees,Insider Ownership (%),Institutional Ownership (%),Market Cap ($B),Enterprise Value ($B),Shares Outstanding (B),Float Shares (B),Book Value/Share ($),EV/EBITDA,EV/Revenue,Current Price ($),Open ($),Previous Close ($),Day High ($),Day Low ($),52-Week High ($),52-Week Low ($),50-Day MA ($),200-Day MA ($),Volume,Avg Volume,EPS (TTM),EPS (Forward),PE Ratio (Trailing),PE Ratio (Forward),PEG Ratio,Profit Margin (%),Operating Margin (%),ROA (%),ROE (%),Operating CF ($B),Free CF ($B),CapEx ($B),Total Debt ($B),Debt to Equity,Quick Ratio,Current Ratio,Dividend Rate ($),Dividend Yield (%),Payout Ratio,Ex-Dividend Date,Revenue Growth YoY,Earnings Growth YoY,Earnings Date,Last Split Date,Last Split Factor
802,Thermo Fisher Scientific Inc.,TMO,NYQ,USD,United States,Healthcare,Diagnostics & Research,https://www.thermofisher.com,125000,0.19,92.54,154.12,182.53,0.377,0.377,130.84,16.86,4.25,408.28,412.39,412.12,414.4,406.95,627.88,385.46,411.41,512.06,3915783,2840188,17.07,23.49,23.92,17.38,N/A,15.19%,17.75%,5.0%,13.7%,8.14,5.77,N/A,34.26,69.23,1.2,1.77,1.72,42.0,9.38%,1749772800,0.2%,15.0%,N/A,834019200,3:2
803,"Tapestry, Inc.",TPR,NYQ,USD,United States,Consumer Cyclical,Luxury Goods,https://www.tapestry.com,12500,0.41,103.15,18.09,21.14,0.208,0.207,7.19,13.71,3.07,87.11,86.77,86.22,87.86,85.88,90.85,35.23,77.72,66.51,7805012,4695211,3.8,4.76,22.92,18.3,N/A,12.5%,17.18%,8.17%,40.27%,1.03,0.58,N/A,4.11,274.98,0.98,1.76,1.4,161.0,36.84%,1749168000,6.9%,58.3%,N/A,1112659200,2:1
804,Targa Resources Corp.,TRGP,NYQ,USD,United States,Energy,Oil & Gas Midstream,https://www.targaresources.com,3370,1.41,92.77,37.83,54.01,0.217,0.213,11.27,13.3,3.3,174.38,175.2,175.84,176.53,173.09,218.51,122.56,166.63,179.39,2891993,2338641,5.42,8.26,32.17,21.11,N/A,7.98%,11.91%,7.44%,41.98%,3.73,-0.19,N/A,16.21,630.03,0.49,0.65,4.0,229.0,55.25%,1745971200,N/A,-25.4%,N/A,N/A,N/A
805,Trimble Inc.,TRMB,NMS,USD,United States,Technology,Scientific & Technical Instruments,https://www.trimble.com,12100,0.31,100.23,18.05,19.15,0.239,0.238,22.85,28.03,5.36,75.65,75.12,75.03,75.83,74.81,77.78,48.65,68.65,68.15,1862970,1443195,6.13,2.98,12.34,25.39,N/A,42.4%,12.16%,3.19%,31.0%,0.45,1.42,N/A,1.39,25.67,0.54,0.84,N/A,N/A,N/A,N/A,-11.8%,17.4%,N/A,1363824000,2:1
806,Tractor Supply Company,TSCO,NMS,USD,United States,Consumer Cyclical,Specialty Retail,https://www.tractorsupply.com,52000,0.26,100.06,27.42,32.95,0.53,0.528,4.21,17.19,2.2,51.71,52.0,51.84,52.51,51.34,61.53,46.85,50.88,54.28,9120867,6021319,2.01,11.13,25.73,4.65,N/A,7.24%,7.19%,9.11%,49.62%,1.38,0.5,N/A,5.76,257.39,0.09,1.41,0.92,178.0,44.28%,1748390400,2.1%,-8.1%,N/A,1734652800,5:1
807,"Tyson Foods, Inc.",TSN,NYQ,USD,United States,Consumer Defensive,Farm Products,https://www.tysonfoods.com,138000,2.5,87.32,19.68,27.88,0.286,0.279,51.65,7.99,0.52,55.24,55.06,55.02,55.5,54.7,66.88,54.01,56.8,59.05,3213826,2966454,2.57,3.5,21.49,15.78,N/A,1.7%,3.94%,3.67%,5.11%,2.26,1.39,N/A,9.07,48.93,0.62,1.67,2.0,362.0,77.04%,1756425600,N/A,-95.2%,N/A,856224000,3:2
808,Trane Technologies plc,TT,NYQ,USD,Ireland,Industrials,Building Products & Equipment,https://www.tranetechnologies.com,45000,0.27,89.8,96.41,100.35,0.223,0.222,33.52,25.51,4.94,432.29,432.25,429.19,437.34,428.96,437.41,298.15,406.67,383.67,3819142,1457316,12.15,12.65,35.58,34.17,N/A,13.47%,16.06%,11.36%,38.63%,3.24,2.44,N/A,4.77,63.47,0.7,1.09,3.76,87.0,28.5%,1757030400,11.2%,40.8%,N/A,1583107200,1289:1000
809,The Toro Company,TTC,NYQ,USD,United States,Industrials,Tools & Accessories,https://www.thetorocompany.com,11108,0.39,93.94,6.94,7.98,0.099,0.098,14.91,12.19,1.75,70.35,71.05,70.96,71.45,70.05,100.93,62.34,71.62,78.57,1051871,1003330,3.89,4.59,18.08,15.33,N/A,8.77%,13.69%,8.57%,25.5%,0.56,0.4,N/A,1.21,82.07,0.71,1.81,1.52,216.0,38.05%,1750118400,-2.3%,-0.7%,N/A,1474243200,2:1
810,"Take-Two Interactive Software, Inc.",TTWO,NMS,USD,United States,Communication Services,Electronic Gaming & Multimedia,https://www.take2games.com,12928,1.48,96.49,44.16,45.48,0.183,0.165,12.07,101.31,8.07,241.44,239.66,239.33,241.91,238.88,245.08,135.24,229.11,195.49,4259431,2389866,-25.57,7.84,N/A,30.8,N/A,-79.5%,2.02%,-2.64%,-114.76%,-0.05,1.15,N/A,4.11,192.07,0.68,0.78,N/A,N/A,N/A,N/A,13.1%,N/A,N/A,1113264000,3:2
811,"Tyler Technologies, Inc.",TYL,NYQ,USD,United States,Technology,Software - Application,https://www.tylertech.com,7462,0.39,96.83,25.06,24.89,0.043,0.043,81.48,57.86,11.36,581.1,578.0,577.2,588.74,576.96,661.31,495.21,566.95,587.82,409676,296567,6.62,10.83,87.78,53.66,N/A,13.23%,15.78%,4.47%,8.87%,0.61,0.51,N/A,0.64,18.22,0.88,0.94,N/A,N/A,N/A,633744000,10.3%,46.0%,N/A,642729600,3:1
812,"UDR, Inc.",UDR,NYQ,USD,United States,Real Estate,REIT - Residential,https://www.udr.com,1419,0.47,102.66,15.35,20.58,0.331,0.299,9.93,20.53,12.07,40.71,41.13,40.82,41.17,40.51,47.55,36.61,41.46,43.08,2793172,2442795,0.36,0.47,113.08,86.62,N/A,7.22%,19.49%,1.8%,2.85%,0.87,0.62,N/A,5.99,136.54,0.0,0.54,1.72,423.0,472.22%,1752105600,1.2%,79.2%,N/A,736646400,2:1
813,"Universal Health Services, Inc.",UHS,NYQ,USD,United States,Healthcare,Medical Care Facilities,https://uhs.com,99300,4.79,97.44,11.48,16.54,0.057,0.055,105.3,7.06,1.03,178.08,177.75,177.43,181.63,177.66,243.25,153.99,180.6,192.51,1088833,849553,17.81,18.16,10.0,9.81,N/A,7.44%,11.09%,7.57%,18.47%,2.03,0.85,N/A,5.09,73.98,1.09,1.32,0.8,45.0,4.49%,1748822400,6.7%,25.7%,N/A,1260921600,2:1
814,"Ulta Beauty, Inc.",ULTA,NMS,USD,United States,Consumer Cyclical,Specialty Retail,https://www.ulta.com,20000,0.26,97.81,20.6,22.12,0.045,0.045,53.96,12.02,1.94,458.27,458.46,457.66,459.69,455.0,491.98,309.01,424.24,393.61,1185617,895996,25.57,22.87,17.92,20.04,N/A,10.45%,14.11%,16.85%,50.43%,1.4,0.88,N/A,1.98,81.27,0.39,1.67,N/A,N/A,N/A,1331856000,4.5%,3.6%,N/A,N/A,N/A
815,Unum Group,UNM,NYQ,USD,United States,Financial Services,Insurance - Life,https://www.unum.com,10833,0.91,92.24,14.15,14.78,0.176,0.159,63.78,6.33,1.16,80.46,79.69,79.7,80.84,79.39,84.48,49.63,79.59,73.52,1726481,1370417,8.48,9.04,9.49,8.9,N/A,12.31%,9.56%,2.22%,14.68%,1.57,0.76,N/A,3.96,35.3,3.74,10.61,1.68,209.0,19.16%,1745539200,-3.4%,-48.0%,N/A,865296000,2:1
816,Union Pacific Corporation,UNP,NYQ,USD,United States,Industrials,Railroads,https://www.up.com,30146,0.11,83.2,138.26,170.73,0.597,0.596,26.78,14.02,7.04,231.41,229.07,229.39,231.68,229.19,258.07,204.66,221.98,234.25,7408475,3407964,11.11,12.11,20.83,19.11,N/A,27.77%,39.55%,8.99%,42.47%,9.43,4.64,N/A,33.9,211.38,0.55,0.73,5.36,232.0,47.93%,1748563200,-0.1%,0.4%,N/A,1402272000,2:1
817,N/A,UNVR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
818,"United Parcel Service, Inc.",UPS,NYQ,USD,United States,Industrials,Integrated Freight & Logistics,https://www.ups.com,490000,0.03,70.26,85.68,106.23,0.734,0.733,18.49,9.15,1.17,101.18,101.0,100.6,101.95,100.43,148.15,90.55,98.11,117.77,3556930,5821491,6.85,8.81,14.77,11.48,N/A,6.44%,8.32%,7.34%,35.91%,9.12,4.27,N/A,25.59,163.19,0.97,1.09,6.56,648.0,95.33%,1747612800,-0.7%,7.4%,N/A,N/A,N/A
819,"United Rentals, Inc.",URI,NYQ,USD,United States,Industrials,Rental & Leasing Services,https://www.unitedrentals.com,27900,0.52,93.45,48.92,62.37,0.065,0.065,135.22,13.79,4.0,752.62,749.7,742.07,758.33,745.01,896.98,525.91,683.95,727.63,920947,636969,38.53,46.86,19.53,16.06,N/A,16.38%,21.94%,9.31%,30.17%,4.94,2.39,N/A,13.99,159.21,0.75,0.85,7.16,95.0,17.32%,1747180800,6.7%,-1.6%,N/A,N/A,N/A
820,V.F. Corporation,VFC,NYQ,USD,United States,Consumer Cyclical,Apparel Manufacturing,https://www.vfc.com,16200,0.95,96.21,4.61,9.55,0.39,0.386,3.82,13.1,1.0,11.84,11.85,11.61,11.98,11.56,29.02,9.41,12.46,18.34,5039075,9945237,0.18,0.92,65.78,12.87,N/A,-2.0%,0.18%,2.8%,4.41%,0.47,0.54,N/A,5.37,360.78,0.66,1.4,0.36,304.0,200.0%,1749513600,-4.6%,N/A,N/A,1558569600,1062:1000
821,VICI Properties Inc.,VICI,NYQ,USD,United States,Real Estate,REIT - Diversified,https://www.viciproperties.com,27,0.28,101.64,34.11,51.95,1.057,1.053,25.18,14.85,13.38,32.28,32.19,32.19,32.53,32.07,34.29,27.53,31.97,31.56,4032215,6751245,2.5,2.73,12.91,11.82,N/A,67.81%,76.76%,4.87%,10.12%,2.43,1.06,N/A,17.76,65.74,21.5,21.5,1.73,536.0,68.5%,1750204800,3.4%,-9.9%,N/A,N/A,N/A
822,Vulcan Materials Company,VMC,NYQ,USD,United States,Basic Materials,Building Materials,https://www.vulcanmaterials.com,11971,0.18,94.05,34.64,40.01,0.132,0.132,61.58,18.76,5.33,262.18,258.26,256.96,263.11,257.75,298.31,215.08,261.54,259.04,2119820,1157419,7.11,9.08,36.87,28.87,N/A,12.5%,13.32%,5.98%,12.07%,1.49,0.86,N/A,5.53,67.82,1.39,2.42,1.96,75.0,26.3%,1747958400,5.8%,26.9%,N/A,921110400,3:1
823,Vornado Realty Trust,VNO,NYQ,USD,United States,Real Estate,REIT - Office,https://www.vno.com,2996,8.34,95.08,7.99,17.4,0.192,0.16,21.52,20.42,9.02,38.29,37.4,37.14,38.31,37.23,46.63,25.36,38.09,39.84,3220217,1494882,0.52,-0.13,73.63,-294.54,N/A,8.62%,21.33%,1.57%,2.0%,0.56,0.58,N/A,8.58,137.74,3.63,4.24,0.74,193.0,142.31%,1734307200,6.6%,N/A,N/A,1500336000,1237:1000
824,"VeriSign, Inc.",VRSN,NMS,USD,United States,Technology,Software - Infrastructure,https://www.verisign.com,929,14.99,82.55,27.01,28.16,0.094,0.093,-21.01,25.45,17.87,287.68,282.08,283.21,288.33,282.0,288.95,172.49,276.01,224.72,1009916,900219,8.17,8.65,35.21,33.26,N/A,50.2%,67.41%,42.14%,N/A,0.94,0.76,N/A,1.79,N/A,0.5,0.56,3.08,107.0,N/A,1747612800,4.7%,9.4%,N/A,944524800,2:1
825,Vertiv Holdings Co,VRT,NYQ,USD,United States,Industrials,Electrical Equipment & Parts,https://www.vertiv.com,31000,0.33,81.02,48.46,50.11,0.381,0.375,7.0,28.59,5.96,127.16,127.0,123.8,128.58,124.8,155.84,53.6,102.81,106.29,8837157,8943270,1.72,3.44,73.93,36.97,N/A,7.92%,14.46%,10.8%,32.82%,1.49,0.8,N/A,3.14,117.91,1.2,1.72,0.15,12.0,7.27%,1750032000,24.2%,N/A,N/A,N/A,N/A
826,Vistra Corp.,VST,NYQ,USD,United States,Utilities,Utilities - Independent Power Producers,https://vistracorp.com,6850,0.69,82.39,66.18,85.8,0.339,0.336,6.91,12.69,4.74,195.04,192.0,190.4,198.2,189.12,199.84,66.5,155.05,141.59,6759254,6524498,6.32,6.9,30.86,28.27,N/A,13.4%,-3.05%,6.3%,41.68%,4.85,2.79,N/A,17.71,366.14,0.26,0.86,0.9,46.0,13.98%,1750204800,28.8%,N/A,N/A,N/A,N/A
827,Westinghouse Air Brake Technologies Corporation,WAB,NYQ,USD,United States,Industrials,Railroads,https://www.wabteccorp.com,29500,1.14,95.68,35.54,39.21,0.171,0.169,60.6,17.95,3.73,207.69,206.98,206.29,208.65,205.62,210.88,147.66,196.5,191.18,1171852,938482,6.4,8.49,32.45,24.46,N/A,10.53%,18.93%,5.73%,10.68%,1.69,1.16,N/A,4.31,41.41,0.67,1.34,1.0,48.0,13.3%,1748304000,4.5%,22.9%,N/A,1370995200,2:1
828,Waters Corporation,WAT,NYQ,USD,United States,Healthcare,Diagnostics & Research,https://www.waters.com,7600,0.16,98.2,20.97,22.13,0.06,0.059,32.98,21.32,7.42,352.41,357.62,354.91,357.85,350.91,423.56,279.24,346.22,363.37,807266,555685,11.03,12.93,31.95,27.26,N/A,22.02%,22.93%,11.61%,40.82%,0.76,0.59,N/A,1.54,78.58,1.14,1.81,N/A,N/A,N/A,848966400,3.9%,18.0%,N/A,967420800,2:1
829,Western Digital Corporation,WDC,NMS,USD,United States,Technology,Computer Hardware,https://www.westerndigital.com,51000,0.75,104.34,22.08,N/A,0.349,0.346,14.83,N/A,N/A,63.29,63.51,63.51,63.66,62.65,63.76,28.83,50.01,48.49,6400750,7864496,2.92,8.81,21.67,7.18,N/A,10.55%,15.4%,5.56%,13.56%,1.31,1.41,N/A,N/A,N/A,0.95,1.56,0.4,63.0,N/A,1748995200,N/A,N/A,N/A,1740355200,1323:1000
830,"WEC Energy Group, Inc.",WEC,NYQ,USD,United States,Utilities,Utilities - Regulated Electric,https://www.wecenergygroup.com,7000,0.15,83.32,32.91,53.83,0.319,0.318,40.66,15.02,5.93,103.13,103.43,103.32,104.16,102.77,111.0,77.47,106.45,101.27,1851105,2227450,5.13,5.22,20.1,19.76,N/A,17.96%,30.14%,2.99%,12.58%,3.51,-0.76,N/A,20.55,153.02,0.32,0.5,3.57,346.0,66.23%,1747180800,17.5%,15.2%,N/A,1299024000,2:1
831,Welltower Inc.,WELL,NYQ,USD,United States,Real Estate,REIT - Healthcare Facilities,https://www.welltower.com,685,0.04,99.27,99.49,113.62,0.654,0.653,52.09,36.02,13.28,152.13,153.08,153.48,153.42,151.92,158.55,102.92,150.3,139.9,3373574,3155380,1.76,1.82,86.44,83.59,N/A,12.65%,17.05%,1.73%,3.48%,2.45,2.85,N/A,17.01,49.2,1.59,1.83,2.68,176.0,148.86%,1747180800,30.3%,80.3%,N/A,494640000,3:2
832,"Werner Enterprises, Inc.",WERN,NMS,USD,United States,Industrials,Trucking,https://www.werner.com,13000,4.3,98.63,1.7,2.38,0.062,0.059,23.19,7.49,0.8,27.6,27.53,27.42,27.86,27.33,42.48,23.02,27.11,33.46,1232065,1037377,0.29,1.4,95.17,19.71,N/A,0.6%,-1.01%,0.65%,1.13%,0.27,-0.03,N/A,0.69,46.74,1.46,1.67,0.56,203.0,144.83%,1751846400,-7.4%,N/A,N/A,1064966400,5:4
833,"Wyndham Hotels & Resorts, Inc.",WH,NYQ,USD,United States,Consumer Cyclical,Lodging,https://www.wyndhamhotels.com,2200,2.22,98.05,6.3,8.78,0.077,0.076,7.42,14.74,6.2,81.87,80.8,80.73,82.14,80.55,113.07,70.08,83.52,91.58,2805051,1040387,4.2,4.74,19.49,17.27,N/A,23.59%,36.08%,8.51%,53.31%,0.27,0.19,N/A,2.53,436.62,0.72,0.96,1.64,200.0,36.9%,1749772800,3.9%,310.5%,N/A,N/A,N/A
834,"The Williams Companies, Inc.",WMB,NYQ,USD,United States,Energy,Oil & Gas Midstream,https://www.williams.com,5829,0.45,88.68,76.52,106.24,1.221,1.214,10.2,18.65,9.59,62.67,62.93,62.87,63.17,62.38,63.18,40.41,59.38,55.8,27808925,8098869,1.86,2.09,33.69,29.99,N/A,20.61%,35.63%,3.99%,16.2%,5.17,0.8,N/A,27.41,184.4,0.24,0.41,2.0,319.0,103.49%,1749772800,11.9%,8.1%,N/A,1325548800,10000:8152
835,"West Pharmaceutical Services, Inc.",WST,NYQ,USD,United States,Healthcare,Medical Instruments & Supplies,https://www.westpharma.com,10600,0.61,97.97,15.72,15.63,0.072,0.071,37.37,20.66,5.4,218.87,218.95,219.0,220.07,215.66,352.33,187.43,214.7,271.39,1929256,806129,6.37,7.52,34.36,29.11,N/A,16.13%,18.44%,10.33%,17.42%,0.66,0.23,N/A,0.31,11.46,1.85,2.77,0.84,38.0,12.87%,1753833600,0.4%,-20.6%,N/A,1380240000,2:1
836,Willis Towers Watson Public Limited Company,WTW,NMS,USD,United Kingdom,Financial Services,Insurance Brokers,https://www.wtwco.com,49000,0.24,96.11,30.19,34.66,0.099,0.099,81.98,13.56,3.53,304.5,301.84,301.81,304.9,301.67,344.14,255.19,307.87,312.36,1154612,707029,-0.46,18.09,N/A,16.83,N/A,-0.54%,16.06%,4.54%,-0.48%,1.45,0.69,N/A,5.93,72.17,0.29,1.16,3.68,121.0,33.14%,1751241600,-5.0%,27.3%,N/A,1451952000,3775:10000
837,Weyerhaeuser Company,WY,NYQ,USD,United States,Real Estate,REIT - Specialty,https://www.weyerhaeuser.com,9400,0.3,90.11,18.75,23.38,0.725,0.722,13.29,20.47,3.3,25.85,25.97,26.32,26.27,25.77,34.03,24.1,26.08,29.36,10584057,4179266,0.49,0.86,52.76,30.06,N/A,5.15%,9.19%,2.4%,3.71%,0.95,0.48,N/A,5.19,53.8,1.1,2.04,0.84,325.0,165.31%,1748563200,-1.8%,-29.6%,N/A,581299200,3:2
838,"Wynn Resorts, Limited",WYNN,NMS,USD,United States,Consumer Cyclical,Resorts & Casinos,https://www.wynnresorts.com,28000,21.91,67.59,9.9,19.18,0.105,0.08,-3.44,11.41,2.75,94.68,92.67,92.64,94.73,92.44,107.81,65.25,87.13,87.82,2254987,2627622,3.74,5.02,25.32,18.86,N/A,6.17%,16.42%,5.03%,N/A,1.24,0.49,N/A,12.18,N/A,1.0,1.08,1.0,106.0,26.74%,1747353600,-8.7%,-46.9%,N/A,N/A,N/A
839,Xcel Energy Inc.,XEL,NMS,USD,United States,Utilities,Utilities - Regulated Electric,https://mn.my.xcelenergy.com/s/,11380,0.2,89.06,39.09,70.34,0.577,0.575,34.35,13.13,5.13,67.78,67.68,67.75,68.38,67.55,73.38,51.97,69.36,67.86,3938915,3825008,3.4,3.83,19.94,17.7,N/A,14.1%,17.44%,2.17%,10.26%,4.62,-3.68,N/A,32.39,163.56,0.52,0.8,2.28,336.0,65.07%,1749772800,7.0%,-4.3%,N/A,896745600,2:1
840,Xylem Inc.,XYL,NYQ,USD,United States,Industrials,Specialty Industrial Machinery,https://www.xylem.com,23000,0.22,97.18,31.2,32.52,0.243,0.242,44.44,18.83,3.78,128.23,129.66,129.5,130.84,127.33,143.5,100.47,123.44,124.51,3010996,1657022,3.71,4.75,34.56,27.0,N/A,10.54%,12.13%,4.44%,8.51%,1.21,0.99,N/A,2.14,19.32,1.3,1.89,1.6,125.0,39.89%,1748476800,1.8%,9.5%,N/A,N/A,N/A
841,"Yum! Brands, Inc.",YUM,NYQ,USD,United States,Consumer Cyclical,Restaurants,https://www.yum.com,40000,0.15,85.36,41.25,52.87,0.278,0.277,-28.07,19.25,6.83,148.41,147.04,147.05,148.84,146.88,163.3,122.13,145.29,141.05,1772385,2244729,5.02,6.08,29.56,24.41,N/A,18.42%,32.12%,24.86%,N/A,1.73,1.28,N/A,12.23,N/A,1.11,1.4,2.84,191.0,54.18%,1748304000,11.8%,-18.2%,N/A,1477958400,1391:1000
842,"Zimmer Biomet Holdings, Inc.",ZBH,NYQ,USD,United States,Healthcare,Medical Devices,https://www.zimmerbiomet.com,17000,0.15,95.44,18.1,24.04,0.198,0.197,62.63,9.41,3.12,91.46,91.79,91.74,92.64,90.81,116.71,89.22,94.88,103.95,5339392,2423370,4.5,8.6,20.32,10.63,N/A,11.87%,17.85%,4.42%,7.32%,1.65,1.32,N/A,7.33,59.06,1.27,2.44,0.96,105.0,21.33%,1750896000,1.1%,8.3%,N/A,1646092800,103:100
843,Zebra Technologies Corporation,ZBRA,NMS,USD,United States,Technology,Communication Equipment,https://www.zebra.com,9900,0.65,93.17,15.73,17.21,0.051,0.05,70.91,17.87,3.37,309.26,310.22,308.32,313.16,306.55,427.76,205.73,278.06,335.75,892797,636032,10.58,16.04,29.23,19.28,N/A,10.73%,15.14%,6.54%,16.16%,1.07,0.89,N/A,2.36,65.11,0.96,1.45,N/A,N/A,N/A,N/A,11.3%,17.5%,N/A,1093478400,3:2
844,N/A,ZEN,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
845,N/A,AAWW,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
846,AbCellera Biologics Inc.,ABCL,NMS,USD,Canada,Healthcare,Biotechnology,https://www.abcellera.com,596,22.97,44.69,1.08,0.54,0.298,0.202,3.43,-2.34,23.37,3.61,3.75,3.74,3.79,3.52,4.08,1.89,2.54,2.7,6191968,5215908,-0.56,-0.66,N/A,-5.47,N/A,N/A,-1479.58%,-12.94%,-15.6%,-0.08,-0.19,N/A,0.07,6.63,8.86,10.15,N/A,N/A,N/A,N/A,-57.5%,N/A,N/A,N/A,N/A
847,Abeona Therapeutics Inc.,ABEO,NCM,USD,United States,Healthcare,Biotechnology,https://www.abeonatherapeutics.com,136,6.14,63.36,0.29,0.23,0.051,0.038,0.85,-3.46,N/A,5.75,5.9,5.9,5.99,5.69,7.32,3.93,5.94,5.77,5023528,1850029,-0.63,-1.48,N/A,-3.89,N/A,N/A,N/A,-49.95%,-271.78%,-0.06,-0.04,N/A,0.02,57.92,4.77,4.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1656979200,1:25
848,"Asbury Automotive Group, Inc.",ABG,NYQ,USD,United States,Consumer Cyclical,Auto & Truck Dealerships,https://www.asburyauto.com,15000,0.63,108.81,4.8,9.47,0.02,0.016,184.32,8.93,0.55,244.13,240.82,239.89,244.73,238.34,312.56,201.68,229.84,243.3,238245,207490,21.0,27.69,11.63,8.82,N/A,2.42%,5.99%,6.05%,11.92%,0.72,0.2,N/A,4.82,132.97,0.26,1.25,N/A,N/A,N/A,1217376000,-1.3%,-6.9%,N/A,N/A,N/A
849,ABM Industries Incorporated,ABM,NYQ,USD,United States,Industrials,Specialty Business Services,https://www.abm.com,117000,1.51,97.53,2.89,4.5,0.062,0.062,29.31,10.77,0.53,46.38,45.87,45.77,46.62,45.77,59.78,40.85,48.91,51.42,918204,580051,1.25,3.66,37.1,12.67,N/A,0.93%,3.9%,3.81%,4.3%,0.04,0.02,N/A,1.67,91.47,1.38,1.55,1.06,229.0,78.4%,1751500800,4.6%,-2.9%,N/A,1020729600,2:1
850,ACADIA Pharmaceuticals Inc.,ACAD,NMS,USD,United States,Healthcare,Biotechnology,https://www.acadia.com,653,0.68,105.59,3.7,3.08,0.167,0.115,4.58,30.26,3.09,22.12,22.18,22.21,22.56,21.72,25.23,13.4,19.28,17.47,2552256,2204648,1.37,0.82,16.15,26.98,N/A,22.97%,7.9%,5.56%,37.24%,0.15,0.02,N/A,0.06,7.32,2.63,2.88,N/A,N/A,N/A,N/A,18.7%,10.0%,N/A,N/A,N/A
851,N/A,ACCD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
852,"Accel Entertainment, Inc.",ACEL,NYQ,USD,United States,Consumer Cyclical,Gambling,https://www.accelentertainment.com,1500,16.91,72.16,1.01,1.32,0.085,0.046,3.05,7.86,1.06,11.9,11.83,11.83,11.93,11.78,12.96,9.02,11.32,11.2,430674,399088,0.49,0.86,24.29,13.84,N/A,3.39%,7.96%,6.46%,18.26%,0.14,0.07,N/A,0.59,223.53,2.21,2.42,N/A,N/A,N/A,N/A,7.3%,93.2%,N/A,N/A,N/A
853,"Acadia Healthcare Company, Inc.",ACHC,NMS,USD,United States,Healthcare,Medical Care Facilities,https://www.acadiahealthcare.com,25500,1.76,109.93,2.02,4.41,0.092,0.09,33.65,6.98,1.4,21.9,22.06,22.05,22.14,21.62,82.41,20.36,22.89,38.74,2169257,2587079,2.04,3.67,10.74,5.97,N/A,5.94%,10.19%,5.06%,6.33%,0.46,-0.28,N/A,2.35,74.09,1.18,1.35,N/A,N/A,N/A,N/A,0.3%,-89.2%,N/A,1320105600,1:4
854,"ACI Worldwide, Inc.",ACIW,NMS,USD,United States,Technology,Software - Infrastructure,https://www.aciworldwide.com,3103,0.98,100.89,4.77,5.43,0.105,0.104,14.08,13.45,3.25,45.49,45.69,45.41,45.9,45.16,59.71,38.59,48.54,51.64,626718,804420,2.53,2.03,17.98,22.41,N/A,16.12%,14.83%,7.0%,19.69%,0.31,0.31,N/A,0.89,59.89,0.77,1.5,N/A,N/A,N/A,N/A,24.9%,N/A,N/A,1405036800,3:1
855,"Axcelis Technologies, Inc.",ACLS,NMS,USD,United States,Technology,Semiconductor Equipment & Materials,https://www.axcelis.com,1524,1.6,103.34,2.24,1.72,0.032,0.032,31.97,8.94,1.8,69.69,71.0,70.92,71.38,68.33,158.61,40.4,59.12,70.53,688189,684093,5.46,5.41,12.76,12.88,N/A,18.58%,15.14%,8.66%,18.45%,0.14,0.11,N/A,0.07,7.05,3.75,5.56,N/A,N/A,N/A,N/A,-23.7%,-43.9%,N/A,1467331200,1:4
